,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type,isFraud
4191659,5943239.4,19023.0,0.0,29467.39,5972706.79,TRANSFER,0
4671587,74919.37,89344.0,14424.63,89379.6,164298.97,CASH_OUT,0
2146871,1205680.42,304936.33,0.0,6807405.44,8013085.87,TRANSFER,0
5585786,471.65,0.0,0.0,0.0,0.0,PAYMENT,0
2293982,4832.3,21557.0,16724.7,0.0,0.0,PAYMENT,0
5243149,150244.51,3248112.0,3398356.51,737274.07,587029.56,CASH_IN,0
1918047,1249664.71,0.0,0.0,3628101.75,4877766.46,TRANSFER,0
1758811,410793.3,72583.0,0.0,0.0,410793.3,CASH_OUT,0
4307397,77355.13,0.0,0.0,4637458.34,4714813.47,CASH_OUT,0
423593,30293.72,133698.08,103404.35,0.0,0.0,PAYMENT,0
4425128,324538.46,1267.0,0.0,749913.38,1074451.84,CASH_OUT,0
241566,2066.67,283319.38,281252.7,0.0,0.0,PAYMENT,0
1614486,15762.62,11014.0,0.0,0.0,0.0,PAYMENT,0
4515755,99859.76,0.0,0.0,4542646.7,4642506.46,CASH_OUT,0
2082222,266519.38,0.0,0.0,1734665.71,2001185.09,CASH_OUT,0
5453887,54573.87,29210.34,0.0,7645782.68,7700356.55,CASH_OUT,0
2466061,5518.2,607493.0,601974.8,0.0,0.0,PAYMENT,0
3168333,105303.7,0.0,0.0,443128.67,548432.37,CASH_OUT,0
4740416,8958.23,0.0,0.0,0.0,0.0,PAYMENT,0
1524784,30601.36,0.0,0.0,129123.2,159724.57,CASH_OUT,0
2193701,22306.04,0.0,0.0,428077.57,450383.61,CASH_OUT,0
6357669,94693.87,11516.0,0.0,3874823.83,3969517.7,CASH_OUT,0
2532741,2018915.29,49203.0,0.0,391981.35,2410896.63,TRANSFER,0
1152930,106735.41,8243503.59,8350238.99,1442693.06,1335957.66,CASH_IN,0
3540968,1226.91,8474081.28,8475308.19,54829.43,53602.51,CASH_IN,0
2728087,2998.42,9257.71,6259.29,0.0,0.0,PAYMENT,0
3935659,13222.96,4013.0,0.0,0.0,0.0,PAYMENT,0
1427958,214376.82,0.0,0.0,2765781.77,2980158.58,CASH_OUT,0
3289669,154120.74,0.0,0.0,648252.46,802373.2,CASH_OUT,0
4504967,86444.12,1342341.0,1428785.12,997379.18,910935.06,CASH_IN,0
3571839,117554.54,14890.0,0.0,1477926.77,1595481.31,CASH_OUT,0
3920688,278975.55,111368.96,0.0,554627.88,833603.44,TRANSFER,0
3815209,25529.94,66157.0,40627.06,0.0,25529.94,CASH_OUT,0
4032313,235270.6,0.0,0.0,3591029.46,3826300.06,CASH_OUT,0
5783735,120741.17,201451.0,80709.83,1488726.68,1609467.85,CASH_OUT,0
260083,103831.58,0.0,0.0,628858.38,474609.68,CASH_OUT,0
528808,3761.77,15015.0,11253.23,0.0,0.0,PAYMENT,0
1329191,12737.09,0.0,0.0,0.0,0.0,PAYMENT,0
5184056,5673.41,518659.0,512985.59,0.0,0.0,PAYMENT,0
1843251,222400.7,1942589.53,2164990.23,452698.14,230297.44,CASH_IN,0
4529368,234021.41,0.0,0.0,642108.36,876129.77,CASH_OUT,0
5752431,14311.9,23152.0,8840.1,0.0,0.0,PAYMENT,0
1766107,164895.02,4653355.13,4818250.15,180024.61,15129.6,CASH_IN,0
2361481,312468.6,94.0,0.0,6023096.68,6335565.28,TRANSFER,0
543207,23488.57,86599.0,63110.43,0.0,0.0,PAYMENT,0
2848332,7533.72,205784.22,198250.5,0.0,0.0,PAYMENT,0
611119,31966.73,52142.0,20175.27,0.0,0.0,PAYMENT,0
1006684,86423.36,11729.0,98152.36,817891.59,731468.23,CASH_IN,0
1135282,197483.91,408100.0,210616.09,624067.39,947289.16,CASH_OUT,0
5881379,358735.15,180.0,0.0,333634.03,692369.18,CASH_OUT,0
32671,135372.29,5605323.95,5740696.24,254278.0,141024.23,CASH_IN,0
6129732,210203.96,0.0,0.0,221802.78,432006.73,CASH_OUT,0
1807999,90467.22,10582.0,0.0,785063.84,875531.06,CASH_OUT,0
2960782,19026.17,0.0,0.0,421754.1,440780.28,CASH_OUT,0
5211775,7326.06,5247.0,0.0,1585704.68,1593030.74,CASH_OUT,0
6322729,280810.06,0.0,0.0,1338076.7,1618886.75,CASH_OUT,0
22398,1226.77,48885.0,47658.23,0.0,0.0,PAYMENT,0
2672099,14749.93,0.0,0.0,0.0,0.0,PAYMENT,0
5083068,223567.65,0.0,0.0,5993475.85,6217043.5,CASH_OUT,0
1847614,61894.24,102507.0,40612.76,0.0,61894.24,CASH_OUT,0
5559093,448908.32,2586885.21,3035793.53,1473784.87,1024876.55,CASH_IN,0
917915,102603.88,0.0,0.0,1473074.84,1746426.38,CASH_OUT,0
3026203,223877.53,36538.0,0.0,0.0,223877.53,CASH_OUT,0
2461901,396794.79,0.0,0.0,462819.7,859614.49,TRANSFER,0
1194759,145503.75,0.0,0.0,887988.06,1033491.81,CASH_OUT,0
3268277,9591.47,0.0,0.0,0.0,0.0,PAYMENT,0
3799706,7936.29,0.0,0.0,0.0,0.0,PAYMENT,0
818846,240759.73,0.0,0.0,1438793.71,1679553.44,CASH_OUT,0
909643,1056.99,403513.32,402456.33,0.0,0.0,PAYMENT,0
1929856,5748.49,41666.0,35917.51,0.0,0.0,PAYMENT,0
4942336,777570.6,330784.0,0.0,0.0,777570.6,TRANSFER,0
6030613,393230.0,0.0,0.0,2883419.54,3276649.54,CASH_OUT,0
4825650,147051.39,3633910.23,3780961.62,185125.89,38074.5,CASH_IN,0
2930746,77343.5,0.0,0.0,185934.61,263278.11,CASH_OUT,0
4488829,23067.99,0.0,0.0,0.0,0.0,PAYMENT,0
1729180,10663.86,0.0,0.0,0.0,0.0,PAYMENT,0
3517126,32657.44,0.0,0.0,2555832.69,2588490.14,CASH_OUT,0
1628739,34040.99,305.0,0.0,0.0,0.0,PAYMENT,0
3786770,229161.55,0.0,0.0,485424.79,714586.34,CASH_OUT,0
4623781,150562.01,6387.0,0.0,45077.45,195639.45,TRANSFER,0
679051,1229924.65,0.0,0.0,4076016.12,5485552.13,TRANSFER,0
3859236,10720.03,0.0,0.0,309341.59,320061.62,CASH_OUT,0
6200033,8041.44,30242.0,22200.56,0.0,0.0,PAYMENT,0
817518,29471.81,0.0,0.0,0.0,0.0,PAYMENT,0
1899731,19452.35,0.0,0.0,0.0,0.0,PAYMENT,0
6107035,2430.3,0.0,0.0,0.0,0.0,PAYMENT,0
691537,4438.17,0.0,0.0,0.0,0.0,PAYMENT,0
6097326,172619.02,152801.0,0.0,0.0,172619.02,CASH_OUT,0
6046742,51951.48,3169.0,55120.48,142910.0,90958.52,CASH_IN,0
1831098,4931.78,0.0,0.0,0.0,0.0,PAYMENT,0
6029020,20553.68,40738.0,20184.32,0.0,0.0,PAYMENT,0
5439238,137072.85,0.0,0.0,1749190.54,1886263.38,CASH_OUT,0
4856014,91867.72,10520.0,0.0,3041863.38,3133731.1,CASH_OUT,0
4943742,248472.4,0.0,0.0,2353174.73,2601647.13,CASH_OUT,0
2869526,235248.96,0.0,0.0,1011954.6,1247203.55,CASH_OUT,0
2193117,28655.44,734.0,0.0,0.0,0.0,PAYMENT,0
2685890,15813.91,59631.0,43817.09,192967.72,208781.63,CASH_OUT,0
4563407,252700.85,10042.0,0.0,200124.63,452825.49,CASH_OUT,0
3170295,11612.47,25483.0,13870.53,0.0,0.0,PAYMENT,0
1429924,167890.41,0.0,0.0,1586559.39,1754449.8,CASH_OUT,0
1445389,25649.44,0.0,0.0,1051741.92,1077391.36,TRANSFER,0
5560101,1747.65,185637.0,183889.35,0.0,0.0,PAYMENT,0
4021362,3636729.45,0.0,0.0,3822138.55,7458868.0,TRANSFER,0
2483892,171892.94,1358234.77,1530127.71,238433.43,66540.49,CASH_IN,0
4925945,14311.11,20580.0,6268.89,0.0,0.0,PAYMENT,0
511391,78596.22,163915.45,85319.23,392990.91,580089.97,CASH_OUT,0
5946929,1178015.66,0.0,0.0,4026846.15,5204861.81,TRANSFER,0
816015,198124.43,0.0,0.0,1255720.66,1453845.09,CASH_OUT,0
1504494,11889.64,149.0,0.0,0.0,0.0,PAYMENT,0
1203697,225179.28,24780.0,249959.28,0.0,0.0,CASH_IN,0
3829999,184848.83,30574.0,215422.83,727953.29,813667.49,CASH_IN,0
3927433,11692.75,58271.0,46578.25,0.0,0.0,PAYMENT,0
5112676,25371.14,99614.0,74242.86,0.0,0.0,PAYMENT,0
2314204,118977.63,0.0,0.0,1739694.26,1858671.9,CASH_OUT,0
4010519,139.79,11566.0,11426.21,0.0,0.0,PAYMENT,0
4867261,108300.57,41751.0,150051.57,77625.94,0.0,CASH_IN,0
3173273,12597.63,339573.0,352170.63,0.0,0.0,CASH_IN,0
2223134,277657.72,0.0,0.0,700406.95,978064.67,CASH_OUT,0
1138907,327128.88,132598.0,459726.88,383132.77,56003.9,CASH_IN,0
2707309,13483.7,0.0,0.0,0.0,0.0,PAYMENT,0
1094631,83400.38,499172.27,415771.88,995799.11,1256684.43,CASH_OUT,0
4051705,18945.22,1042840.55,1061785.77,30451.84,11506.61,CASH_IN,0
4495695,237776.02,30217.0,0.0,0.0,237776.02,CASH_OUT,0
501035,242502.49,9134642.61,9377145.1,588811.63,346309.14,CASH_IN,0
3091347,1037.78,12834.0,11796.22,3200853.16,2793941.25,DEBIT,0
5386011,984.6,0.0,0.0,0.0,0.0,PAYMENT,0
3317512,5728.42,4528.0,0.0,0.0,0.0,PAYMENT,0
284946,26533.77,0.0,0.0,156622.27,183156.04,CASH_OUT,0
4712,1343.85,46298.84,44954.99,0.0,0.0,PAYMENT,0
2868596,31881.75,10204.0,0.0,0.0,0.0,PAYMENT,0
6341019,25716.84,2128716.59,2154433.43,326917.34,301200.5,CASH_IN,0
2664601,227333.2,0.0,0.0,634191.98,861525.18,CASH_OUT,0
1554767,5995.68,0.0,0.0,0.0,0.0,PAYMENT,0
